name,listeners,mbid,url
Tems,644257,5b2a8faa-ffee-4706-a1a8-58f109bc8ca2,https://www.last.fm/music/Tems
téms,51,,https://www.last.fm/music/t%C3%A9ms
JEMS!,29780,e3c9e4b1-a933-4a84-8a08-5ea23f87338e,https://www.last.fm/music/JEMS%21
Dave, Tems,356,,https://www.last.fm/music/Dave,+Tems
Dave & Tems,306,,https://www.last.fm/music/Dave+&+Tems
Gems,135972,d2240323-a4a1-48ca-905d-d0e8113d1113,https://www.last.fm/music/Gems
Teams,65149,9ea9d9fd-d681-4724-b913-6702caa25c98,https://www.last.fm/music/Teams
Harper Rems,89563,,https://www.last.fm/music/Harper+Rems
Tyla, Tems,5135,,https://www.last.fm/music/Tyla,+Tems
Nems,14658,f76e0b8d-4fcf-49d6-8d23-1ae5ce047826,https://www.last.fm/music/Nems
Future, Drake, Tems,10065,,https://www.last.fm/music/Future,+Drake,+Tems
Drake, Tems,4385,,https://www.last.fm/music/Drake,+Tems
Wizkid, Tems,3930,,https://www.last.fm/music/Wizkid,+Tems
The Tams,69348,a46b081a-99db-4a8e-87f1-9cd57642dfee,https://www.last.fm/music/The+Tams
Electronic Gems,18897,,https://www.last.fm/music/Electronic+Gems
Dems,24342,51fd08c2-f144-42a0-bf7d-52b50c379752,https://www.last.fm/music/Dems
Beyoncé, Grace Jones, Tems,15016,,https://www.last.fm/music/Beyonc%C3%A9,+Grace+Jones,+Tems
Justin Bieber & Tems,1249,,https://www.last.fm/music/Justin+Bieber+&+Tems
Rain Gems,25331,,https://www.last.fm/music/Rain+Gems
Tems, Brent Faiyaz,4082,,https://www.last.fm/music/Tems,+Brent+Faiyaz
LEMS,12292,2c72f815-d474-4d41-ad12-8217b38d77a1,https://www.last.fm/music/LEMS
Tams,6195,eb8e8ec0-d9d4-4a99-8947-99049a3fdf47,https://www.last.fm/music/Tams
Justin Bieber, Tems,898,,https://www.last.fm/music/Justin+Bieber,+Tems
Lil Tees,5765,69e9bb71-94e5-448c-8758-463cd9cf894b,https://www.last.fm/music/Lil+Tees
Tems, Asake,1036,,https://www.last.fm/music/Tems,+Asake
The Gems,18888,f1b716f5-aa60-4c8b-b723-4feb2ab855a5,https://www.last.fm/music/The+Gems
The Stems,17501,1338dca3-a24c-49e0-8483-4ae9a8bb64d0,https://www.last.fm/music/The+Stems
GEMS COMPANY,3886,f88cc465-fce4-46a8-99d9-e773d21579aa,https://www.last.fm/music/GEMS+COMPANY
Dave and Tems,34,,https://www.last.fm/music/Dave+and+Tems
Bound Stems,27845,c5ded58d-cab7-476a-8ace-b8fc9588050a,https://www.last.fm/music/Bound+Stems
